Id,Label,URL,Datatype,Uses in statements,Items with such statements,Uses in statements with qualifiers,Uses in qualifiers,Uses in references,Uses in properties,Uses total,Related properties
P2105,"size of team at finish",http://www.wikidata.org/entity/P2105,Quantity,3,3,3,1337,0,0,1340,"size of team at start@journey destination@journey origin@day in year for periodic occurrence@edition number@participant@winner@point in time@length@location@sport@topic's main category@inception@official website@Commons category@subclass of@image@Freebase identifier"
P2061,"aspect ratio",http://www.wikidata.org/entity/P2061,Item,1340,1339,0,0,0,0,1340,"AlloCiné series ID@list of episodes@original network@narrative location@number of seasons@list of characters@start time@number of episodes@country of origin@original language of work@theme music@creator@executive producer@cast member@BBC program identifier@genre@IMDb identifier@end time@working title@streaming media URL@official website@FilmAffinity identifier@MPAA film rating@composer@duration@PORT film ID@review score@Freebase identifier@distributor@based on@filming location@production company@Rotten Tomatoes identifier@Netflix identifier@soundtrack album@NMHH film rating@Metacritic ID@describes the fictional universe@nominated for@SMDB ID@color@main subject@publication date@Facebook ID@director@narrator@title@Elonet movie ID@SFDb movie ID@topic's main template"
P1285,"Munzinger Sport",http://www.wikidata.org/entity/P1285,String,1334,1334,0,0,1,0,1335,"Turkish Football Federation manager ID@personal best@sport number@Soccerbase player id@participant of@Sports Reference ID@Soccerbase manager id@co-driver@Baseball-Reference.com minor league player ID@shooting handedness@sports disciplines competed in@Cycling Database ID@GND identifier@handedness@FIFA player code@sport@award received@position played on team / speciality@Swedish Football Association ID@playing hand@mariscos recios futsal@Power of 10 athlete ID@worldfootball.net ID@VIAF identifier@ITTF ID@place of birth@LCAuth identifier@transfermarkt manager id@Chess Club ID@record held@UEFA player code@GTAA id@doubles record@singles record@Freebase identifier@image@ITF ID@ATP ID@country of citizenship@drafted by@BoxRec ID@occupation@Munzinger IBA@Speedskatingbase.eu ID@Commons category@ranking@date of birth@ISNI@given name@Encyclopædia Britannica Online ID@WTA ID@lifestyle@NNDB people ID@NTA identifier (Netherlands)@sex or gender@Cycling Archives ID (cyclist)@IAAF ID@transfermarkt footballer id@pronunciation audio@audio recording of the subject's spoken voice@FAST-ID@nickname@residence@NLR (Romania) identifier@official blog@partner@place of death@Chess Games ID@honorific prefix@Fashion Model Directory designer ID@NDL identifier@sponsor@FIE identifier@cause of death@measured physical quantity@Commons gallery@official website@birth name@IBU biathlete identifier@Cycling Quotient identifier (cyclist, man)@manner of death@medical condition@work location@Declarator.org ID@IMDb identifier@Fide ID@BnF identifier@SUDOC authorities@Twitter username@family name@languages spoken or written@date of death@NSZL identifier@relative@Elo rating@winner@(OBSOLETE) birth name (use P1477)@spouse@brother"
P1451,"motto text",http://www.wikidata.org/entity/P1451,Monolingual text,1403,1297,13,2,0,0,1405,"Thailand central administrative unit code@native label@IPA@GNS Unique Feature Identifier@official symbol@locator map image@named as@life expectancy@population@contains administrative territorial entity@motto@consecrator@students count@FCC Facility ID@central bank@Dharma Drum Buddhist College place ID@executive body@foundational text@unemployment rate@Banque de noms de lieux du Québec id@Human Development Index@gini coefficient@seal description@separated from@income classification (Philippines)@office held by head of state@seal image@rector@relief location map@drives on the@public holiday@external data available at@electorate@highest judicial authority@electoral district@location map@FIPS 10-4 (countries and regions)@postal code@country calling code@home port@pennant number@WOEID@FAST-ID@beam@demonym@BBC Things identifer@Philippine Standard Geographic Code@party chief representative@history of topic@ISO 3166-2 code@item operated@TGN identifier@maximum number of players@legislative body@diplomatic relation@topic's main Wikimedia portal@nominal GDP@OpenStreetMap Relation identifier@top-level domain@armament@IOC country code@GeoNames ID@minimum number of players@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@category for films shot at this location@streaming media URL@mobile country code@theme music@head of state@feed URL@Freebase identifier@deepest point@allegiance@basic form of government@category of people buried here@list of monuments@represents organisation@coordinate of northernmost point@flag@sponsor@highest point@source of energy@currency@replaces@FIPS 5-2 (code for US states)@KulturNav-id@anthem@nickname@office held by head of government@gross tonnage@honorific prefix@draft@detail map@German regional key@employees@shares border with@political alignment@coordinate location@manager/director@capital@coordinate of easternmost point@coordinate of southernmost point@located in the administrative territorial entity@coordinate of westernmost point@cause of destruction@port@coat of arms@affiliation@topic's main category@main regulatory text@speed@chief executive officer@official language@inception@patron@mobile network code@vessel class@country@Commons category@CVR@Wikivoyage banner@founder@source code repository@grid global research id@species kept@chairperson@dmoz@phone number@category of associated people@bug tracking system@service entry@inspired by@category for people who died here@powerplant@LIR@MusicBrainz area ID@Encyclopædia Britannica Online ID@OmegaWiki Defined Meaning@Global Anabaptist Mennonite Encyclopedia Online identifier@head of government@service retirement@named after@subsidiary@NUTS code@parent company@coat of arms image@logo image@flag image@official website@significant event@patron saint"
P1280,"CONOR identifier",http://www.wikidata.org/entity/P1280,String,1294,1294,0,0,0,0,1294,"Slovenska biografija ID@SIGIC (person)@Dharma Drum Buddhist College person ID@list of works@pet@courtesy name@NLC authorities@Prosopographia Attica@Ballotpedia ID@member of the deme@consecrator@IPI number@place of death@Encyclopædia Britannica Online ID@place of birth@SBN identifier@religious name@EGAXA identifier@US Federal Election Commission identifier@stepfather@CiNii author identifier@CALIS@Musopen composer ID@blood type@doctoral student@(OBSOLETE) influence of@ResearcherID@SELIBR@BNC identifier@occupation@date of death@RSL identifier (person)@lifestyle@NCL identifier@date of birth@country of citizenship@image@filmography@NKC identifier@SWB editions@VIAF identifier@BNE identifier@given name@feast day@sex or gender@FAST-ID@PTBNP identifier@work period (start)@Scopus Author ID@NLR (Romania) identifier@MacTutor id (biographies)@NLA (Australia) identifier@BiblioNet author identifier@influenced by@ISNI@CBDB ID@Library of Congress Classification@CANTIC@KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur@honorific prefix@pseudonym@signature@NUKAT (WarsawU) authorities@SUDOC authorities@LCAuth identifier@LinkedIn personal profile URL@BAV (Vatican Library) identifier@Commons Creator page@BnF identifier@NSK identifier@NLI (Israel) identifier@NNDB people ID@Sandrart.net person ID@doctoral advisor@Erdős number@student@work period (end)@Perlentaucher ID@canonization status@Munzinger IBA@GND identifier@Zentralblatt MATH author ID@Nupill Literatura Digital - Author@Politifact Personality Identifier@student of@NILF author id@Commons category@NTA identifier (Netherlands)@ORCID@Openpolis ID@Mathematics Genealogy Project identifier@birth name@NDL identifier@Open Library identifier@Gran Enciclopèdia Catalana ID@NASA biographical ID@LAC identifier@member of@BMLO@OpenPlaques subject identifier@field of work@languages spoken or written@topic's main template@EAGLE id@Cooper-Hewitt Person ID"
P1994,"AllMusic composition ID",http://www.wikidata.org/entity/P1994,String,1289,1286,0,1,0,0,1290,"tonality@instrumentation@MusicBrainz work ID@first performance@tempo marking@IMSLP ID@composer@librettist@catalog code@choreographer@set in period@CPDL ID@attributed to@movement@dedicated to@audio@date of taxon name publication@Freebase identifier@BnF identifier@GND identifier@BNE identifier@original language of work@lyrics by@based on@VIAF identifier@NLA (Australia) identifier@commemorates@commissioned by@LCAuth identifier@video@full text available at@edition(s)@MobyGames ID"
P605,"NUTS code",http://www.wikidata.org/entity/P605,String,1581,1269,685,0,0,0,1581,"German district key@category for films shot at this location@coordinate of northernmost point@coordinate of westernmost point@coordinate of easternmost point@coordinate of southernmost point@ISO 3166-2 code@Dewey Decimal Classification@Swedish county code@category for people who died here@GNS Unique Feature Identifier@licence plate code@MusicBrainz area ID@category of associated people@FIPS 10-4 (countries and regions)@topic's main Wikimedia portal@highest judicial authority@Wikivoyage banner@highest point@category for people born here@total expenditure@FAST-ID@legislative body@Human Development Index@history of topic@office held by head of state@head of government@nominal GDP per capita@capital@drives on the@shares border with@locator map image@flag image@category of people buried here@contains administrative territorial entity@German regional key@inflation rate@located in time zone@dmoz@coat of arms image@relief location map@deepest point@nominal GDP@public holiday@diplomatic relation@top-level domain@Geokod@mobile country code@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@motto@detail map@OpenStreetMap Relation identifier@IOC country code@demonym@country calling code@coat of arms@unemployment rate@time of earliest written record@gini coefficient@Commons gallery@flag@central bank@anthem@location map@GSS code (2011)@enclave within@sister city@IPA@executive body@located next to body of water@NIS/INS code@head of state@separated from@population@pronunciation audio@currency@topic's main category@exclave of@archives at@official language@GND identifier@WOEID@basic form of government@local dialing code@foundational text@official website@bureau du patrimoine de Seine-Saint-Denis ID@OmegaWiki Defined Meaning@Dodis@replaces@German municipality key@GeoNames ID@OS grid reference@BnF identifier@list of monuments@Global Anabaptist Mennonite Encyclopedia Online identifier@Freebase identifier@main regulatory text@VIAF identifier@inception@office held by head of government@named after@Commons category@LIR@replaced by@Gran Enciclopèdia Catalana ID@coordinate location@INE municipality code@located in the administrative territorial entity@place name sign@TGN identifier@patron saint@density@dissolved or abolished@located on terrain feature@country@capital of@continent@depicted by@LCAuth identifier@postal code@image@subsidiary@HDS@LAC identifier@Encyclopædia Britannica Online ID@motto text@equivalent class@official residence@SUDOC authorities@CBS municipality code"
P355,"subsidiary",http://www.wikidata.org/entity/P355,Item,3039,1253,166,2,0,0,3041,"stock exchange@ISIN@total assets@Name Assigning Authority Number@chief executive officer@business division@parent company@total expenditure@ticker symbol@Legal Entity Identifier@chief operating officer@legal form@IRS Employer Identification Number@headquarters location@airline alliance@CrunchBase organisation ID@USB ID@ISFDB publisher ID@founder@logo image@industry@IATA airline designator@callsign of airline@OKPO ID@ICAO airline designator@GitHub username@airline hub@employees@mobile network code@Discogs label ID@inception@item operated@NARA organization ID@official website@OpenCorporates ID@number of seats of the organization in legislature@membership@office held by head of the organisation@owner of@SIREN number@party chief representative@investor@represented by@Anime News Network company ID@motto@grid global research id@DOI Prefix@e-mail@CVR@topic's main category@product@official blog@streaming media URL@highest judicial authority@MusicBrainz label ID@chairperson@Norwegian organization number@owned by@manager/director@replaces@rector@Freebase identifier@topic's main Wikimedia portal@mascot@website account on@German regional key@political alignment@Commons category@phone number@history of topic@highest point@FAST-ID@category of people buried here@Integrated Postsecondary Education Data System identifier@place name sign@German district key@CALIS@nominal GDP@brand@mobile country code@topic's main template@diplomatic relation@demonym@location of formation@VIAF identifier@deepest point@IOC country code@NUTS code@time of earliest written record@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@Commons gallery@country calling code@top-level domain@replaced by@dissolved or abolished@basic form of government@motto text@IPA@cuisine@country@Facebook ID@legislative body@Instagram username@category for films shot at this location"
P757,"World Heritage Site id",http://www.wikidata.org/entity/P757,String,1235,1235,5,13,3,0,1251,"Dharma Drum Buddhist College place ID@Wikivoyage banner@Nova Scotia Register of Historic Places identifier@heritage status@Canmore ID@vici.org ID@WDPA id@Exceptional heritage of Wallonia identifier@IUCN protected areas category@has part@CONA  identifier@office held by head of state@watershed area@location map@detail map@Alberta Register of Historic Places identifier@volume for quantity@PSS-archi ID@image@Digital Atlas of the Roman Empire ID@Freebase identifier@Commons category@Commons gallery@basin country@located on terrain feature@coordinate location@Canadian Register of Historic Places identifier@Commons Institution page@deepest point@history of topic@Romania LMI code@DGO4 identifier@visitors per year@topic's main category@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@LIR@Maltese Islands National Inventory of Cultural Property identifier@category of people buried here@Encyclopædia Britannica Online ID@Emporis building ID@country calling code@commissioned by@top-level domain@located next to body of water@Structurae ID (structure)@officially opened by@dedicated to@enclave within@country@VIAF identifier@architect@GeoNames ID@located in the administrative territorial entity@part of@dmoz@diplomatic relation@Pleiades identifier@sister city@mother house@highest point@structural engineer@inspired by@time of earliest written record@Flemish organization for Immovable Heritage relict ID@Smithsonian volcano identifier@category for people who died here@code Bien de Interés Cultural@category for films shot at this location@spoken text audio@category of associated people@ASI Monument ID@number of spans@main building contractor@architectural style@Québec cultural heritage directory identifier@kulturnoe-nasledie.ru ID@cultural properties of Belarus reference number@category for people born here@diocese@Dewey Decimal Classification@CBS municipality code"
P778,"Church of Sweden parish code",http://www.wikidata.org/entity/P778,String,1236,1236,0,0,1,0,1237,"Church of Sweden Pastoratskod@separated from@located in the administrative territorial entity@country"
P1319,"earliest date",http://www.wikidata.org/entity/P1319,Time,16,15,0,1201,3,0,1220,"latest date@temporal range start@start time@equivalent class@OmegaWiki Defined Meaning@full text available at@Code of nomenclature@Fossilworks ID@Dyntaxa ID@topic's main Wikimedia portal@Fauna Europaea ID@BNCF Thesaurus@ITIS TSN@NCBI Taxonomy ID@PSH ID@topic's main category@AAT identifier@image@Freebase identifier@NDL identifier@Commons category@Dewey Decimal Classification@Encyclopedia of Life ID@Commons gallery@parent taxon@taxon rank@taxon name@ZooBank nomenclatural act@owned by@Global Biodiversity Information Facility ID@material used@World Register of Marine Species identifier"
P1740,"category for films shot at this location",http://www.wikidata.org/entity/P1740,Item,1211,1211,0,0,0,0,1211,"topic's main Wikimedia portal@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@top-level domain@IOC country code@mobile country code@deepest point@diplomatic relation@nominal GDP@NUTS code@highest point@country calling code@demonym@category of associated people@coordinate of northernmost point@FIPS 10-4 (countries and regions)@coordinate of southernmost point@coordinate of westernmost point@coordinate of easternmost point@flag@category for people who died here@history of topic@ISO 3166-2 code@anthem@Wikivoyage banner@dmoz@legislative body@category of people buried here@MusicBrainz area ID@head of state@FIPS 5-2 (code for US states)@highest judicial authority@Dewey Decimal Classification@office held by head of state@drives on the@category for people born here@Human Development Index@central bank@currency@nominal GDP per capita@central government debt as a percent of GDP@GNS Unique Feature Identifier@public holiday@coat of arms@official symbol@gini coefficient@Dharma Drum Buddhist College place ID@NARA geographic ID@official language@IPA@executive body@head of government@flag image@sister city@relief location map@UN/LOCODE@total expenditure@FAST-ID@M.49 code@unemployment rate@located in time zone@location map@capital@motto@WOEID@life expectancy@shares border with@locator map image@party chief representative@inflation rate@seal description@coat of arms image@basic form of government@foods traditionally associated@Ballotpedia ID@separated from@Commons gallery@detail map@contains administrative territorial entity@OpenStreetMap Relation identifier@German regional key@foundational text@ISO 3166-3@capital of@office held by head of government@external data available at@Iran statistics ID@enclave within@population@NDL identifier@OmegaWiki Defined Meaning@located next to body of water@continent@replaces@GSS code (2011)@pronunciation audio@topic's main category@official website@Global Anabaptist Mennonite Encyclopedia Online identifier@named after@female population@male population@GND identifier@Banque de noms de lieux du Québec id@BnF identifier@main regulatory text@local dialing code@seal image@bureau du patrimoine de Seine-Saint-Denis ID@Dodis@patron saint@GNIS ID@GeoNames ID@time of earliest written record@Gran Enciclopèdia Catalana ID@territory claimed by@licence plate code@exclave of@number of households@density@motto text@Brazilian municipality code@Freebase identifier@inception@Digital Atlas of the Roman Empire ID@VIAF identifier@Commons category@described by source@area@Italian cadastre code@ISTAT ID@postal code@INSEE municipality code@image@LIR@FIPS 55-3 (locations in the US)@archives at@dantai code@Encyclopædia Britannica Online ID@coordinate location@SUDOC authorities@TGN identifier@said to be the same as@NIS/INS code@Trismegistos Geo ID@member of@LCAuth identifier@located in the administrative territorial entity@audio@list of monuments@Glad identifier@OS grid reference@country@elevation above sea level@replaced by@located on terrain feature@Pleiades identifier@LAC identifier@place name sign@HDS@INE municipality code@World Heritage Site id@FIPS 6-4 (US counties)@official residence@Jewish Encyclopedia ID (Russian)@topic's main template@nickname@CBS municipality code@subsidiary"
P1427,"journey origin",http://www.wikidata.org/entity/P1427,Item,1190,1187,35,21,0,0,1211,"journey destination@number of participants@series ordinal@ProCyclingStats ID (race)@speed@winner@edition number@Cycling Archives ID (race)@participating team@general classification@Aviation Safety Network accident description ID@stage classification@record held@size of team at finish@number of survivors@Aviation Safety Network Wikibase Occurrence@point in time@aircraft registration@number of deaths@has immediate cause@size of team at start@length@participant@item operated@has contributing factor@part of@carries scientific instrument@number of injured@number of casualties@follows@followed by@investigated by@sport@end time@start time@cause of destruction@has cause@subclass of@has part@nominal GDP@country@official website@Commons category"
P664,"organizer",http://www.wikidata.org/entity/P664,Item,1297,1192,12,7,0,0,1304,"participant@winner@number of points/goals scored@end time@start time@frequency of event@size of team at start@prize money@number of participants@number of matches played@sport@points/goal scored by@attendance@candidate@has contributing factor@executive producer@curator@follows@followed by@torch lit by@presenter@referee@subclass of@oath made by@edition number@participating team@temporal range start@sponsor@contributor@crew member@YouTube channel ID@catalog@surface played on@(OBSOLETE) influence of@officially opened by@business division@point in time@commemorates@country@Freebase identifier@day in year for periodic occurrence@official website@topic's main category@topic's main template@manager/director@location"
P591,"EC number",http://www.wikidata.org/entity/P591,String,1198,1197,0,0,0,0,1198,"EC classification@molecular function@RefSeq Protein ID@biological process@cell component@encoded by@UniProt ID@regulates (molecular biology)@Ensembl Protein ID@found in taxon@subclass of@PDB ID@physically interacts with@Gene Atlas Image@product"
P1444,"journey destination",http://www.wikidata.org/entity/P1444,Item,1170,1164,30,29,0,0,1199,"journey origin@number of participants@series ordinal@ProCyclingStats ID (race)@speed@winner@edition number@participating team@Cycling Archives ID (race)@general classification@Aviation Safety Network accident description ID@stage classification@record held@size of team at finish@number of survivors@point in time@Aviation Safety Network Wikibase Occurrence@aircraft registration@has immediate cause@number of deaths@length@size of team at start@participant@item operated@has contributing factor@part of@carries scientific instrument@number of casualties@follows@followed by@number of injured@investigated by@sport@end time@start time@has cause@cause of destruction@subclass of@has part@nominal GDP@sponsor@spacecraft@official website@country@time of spacecraft landing@Commons category@type of orbit@manager/director@crew member"
P1959,"Dutch Senate person ID",http://www.wikidata.org/entity/P1959,String,1182,1182,0,1,0,0,1183,"Parlement & Politiek ID@Biografisch Portaal number@position held@member of political party@number of children@DBNL ID@PACE member ID@short name@residence@GTAA id@occupation@date of death@Catalogus Professorum Academiae Groninganae id@birth name@religion@given name@date of baptism in early childhood@country of citizenship@noble title@date of birth@VIAF identifier@movement@sex or gender@image@NTA identifier (Netherlands)@nickname@academic degree@noble family@educated at@MEP directory identifier@place of birth@DVN identifier@place of death@employer@award received@Global Anabaptist Mennonite Encyclopedia Online identifier@genealogics.org person ID"
P1885,"cathedral",http://www.wikidata.org/entity/P1885,Item,1186,1181,2,0,0,0,1186,"Catholic Hierarchy diocese ID@official website@membership@separated from@topic's main category@Freebase identifier@Commons category@manager/director@coordinate location@image@patron saint@replaces@country@VIAF identifier@inception"
P609,"terminus location",http://www.wikidata.org/entity/P609,Item,1833,921,1686,252,0,0,2085,"terminus@road number@road map@highway marker@coincident with@primary destinations@detail map@maintained by@highway system@owned by@crosses@aircraft registration@start time@officially opened by@has facility@number of deaths@number of participants@cause of destruction@located in the administrative territorial entity@country@type of electrification@located on terrain feature@item operated@length@named after@track gauge@Structurae ID (structure)@Commons category"
P792,"chapter",http://www.wikidata.org/entity/P792,String,5,5,0,49,1118,0,1172,"edition or translation of@volume@main subject@published in@author@publisher@part of"
P1159,"CODEN",http://www.wikidata.org/entity/P1159,String,1164,1163,2,0,0,0,1164,"LCOC LCCN (bibliographic)@ISO 4 abbreviation@Scopus Source ID@Danish Bibliometric Research Indicator level@Danish Bibliometric Research Indicator (BFI) SNO/CNO@bibcode@Z39.5 abbreviation@ERA Journal ID@OCLC control number@ISSN@Jufo ID@publisher@NLM Unique ID@(OBSOLETE) title (use P1476, "title")@JSTOR article ID@title@CN@original language of work@official website@editor@subtitle@ZDB identifier@RSL editions@field of work"
P1770,"Romania LMI code",http://www.wikidata.org/entity/P1770,String,1157,1157,0,1,1,0,1159,"Facebook Places ID@heritage status@image@World Heritage Site id@country@patron saint@coordinate location@mother house@category of people buried here@commissioned by"
P1113,"number of episodes",http://www.wikidata.org/entity/P1113,Quantity,1149,1144,14,13,0,0,1162,"start time@end time@number of seasons@original network@list of episodes@BBC Genome identifier@AlloCiné series ID@theme music@feed URL@presenter@Anime News Network anime ID@BBC program identifier@aspect ratio@country of origin@list of characters@production company@screenwriter@working title@producer@BBC Things identifer@AGORHA work ID@executive producer@original language of work@cast member@series@director@cost@describes the fictional universe@commissioned by@based on@genre@narrative location@IMDb identifier@voice actor@streaming media URL@review score@nominated for@creator@soundtrack album@sponsor@ISFDB series ID@characters@(OBSOLETE) influence of@PORT film ID@FilmAffinity identifier@followed by@first performance@distributor@follows@SMDB ID@SFDb movie ID@official website@Netflix identifier@duration@Freebase identifier@subtitle@composer@main subject@publication date@first flight@filming location@contributor@website account on"
P1934,"Animator.ru film ID",http://www.wikidata.org/entity/P1934,String,1144,1144,0,1,0,0,1145,"IMDb identifier@publication date@production company@voice actor@original language of work@list of episodes@country of origin@characters@based on@duration"
P1260,"Cultural heritage database in Sweden",http://www.wikidata.org/entity/P1260,String,1258,1136,28,0,0,0,1258,"RAÄ-nummer@material used@Rundata@inception@light characteristic of a lighthouse@location of discovery@location@floors above ground@cause of destruction@source of energy@(OBSOLETE) inscription (use P1684)@architect@country@image@Minor Planet Center observatory code@located next to body of water"
P194,"legislative body",http://www.wikidata.org/entity/P194,Item,1138,1107,89,28,0,0,1166,"Philippine Standard Geographic Code@anthem@topic's main Wikimedia portal@income classification (Philippines)@currency@category for films shot at this location@highest judicial authority@electoral district@electorate@demonym@FIPS 5-2 (code for US states)@category of people buried here@flag@basic form of government@top-level domain@diplomatic relation@office held by head of government@history of topic@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@FIPS 10-4 (countries and regions)@central government debt as a percent of GDP@GNS Unique Feature Identifier@IOC country code@central bank@deepest point@office held by head of state@Human Development Index@public holiday@nominal GDP@country calling code@highest point@mobile country code@executive body@official symbol@drives on the@gini coefficient@nominal GDP per capita@NARA geographic ID@head of state@category of associated people@dmoz@official language@ISO 3166-2 code@Wikivoyage banner@NUTS code@unemployment rate@flag image@category for people who died here@MusicBrainz area ID@motto@seal description@Dharma Drum Buddhist College place ID@life expectancy@relief location map@coat of arms@FAST-ID@separated from@WOEID@foundational text@capital@location map@inflation rate@locator map image@category for people born here@Dewey Decimal Classification@Ballotpedia ID@population@German regional key@IPA@coordinate of northernmost point@coat of arms image@coordinate of westernmost point@coordinate of easternmost point@coordinate of southernmost point@external data available at@Iran statistics ID@located in time zone@head of government@M.49 code@foods traditionally associated@enclave within@detail map@shares border with@Banque de noms de lieux du Québec id@Dodis@students count@replaces@contains administrative territorial entity@archives at@OmegaWiki Defined Meaning@territory claimed by@OpenStreetMap Relation identifier@main regulatory text@dissolved or abolished@Commons gallery@inception@party chief representative@located next to body of water@bureau du patrimoine de Seine-Saint-Denis ID@local dialing code@pronunciation audio@motto text@GSS code (2011)@exclave of@Global Anabaptist Mennonite Encyclopedia Online identifier@topic's main category@replaced by@GNIS ID@time of earliest written record@speaker@represented by@seal image@NDL identifier@continent@sister city@LIR@official website@patron saint@GND identifier@GeoNames ID@list of monuments@Freebase identifier@Encyclopædia Britannica Online ID@stated in@named after@licence plate code@Commons category@BnF identifier@nickname@religion@Gran Enciclopèdia Catalana ID@described by source@coordinate location@VIAF identifier@located in the administrative territorial entity@country@Swedish municipality code@FIPS 55-3 (locations in the US)@legislated by@LCAuth identifier@located on terrain feature@place name sign@quantity@postal code@HDS@Politifact Personality Identifier@density@TGN identifier@OS grid reference@South African municipality code@said to be the same as@member of@official residence@capital of@SUDOC authorities@EAGLE id@Cooper-Hewitt Person ID@subsidiary@contributor@Library of Congress Classification@LAC identifier@founder"
P1174,"visitors per year",http://www.wikidata.org/entity/P1174,Quantity,1170,1124,111,0,0,0,1170,"Museofile@Commons Institution page@collection or exhibition size@manager/director@inception@official website@Canmore ID@NARA organization ID@CONA  identifier@ISIL ID@has facility@date of official opening@Chemins de mémoire ID@number of elevators@PSS-archi ID@image@species kept@floors above ground@official blog@commemorates@detail map@Commons category@commissioned by@CulturaItalia ID@phone number@coordinate location@located in the administrative territorial entity@cultural properties of Belarus reference number@World Heritage Site id@Encyclopædia Britannica Online ID@interchange station@officially opened by@SUDOC authorities@Facebook ID@Canadian Register of Historic Places identifier@architect@structural engineer@Freebase identifier@quantity@country@Québec cultural heritage directory identifier@VIAF identifier@MusicBrainz place ID@BnF identifier@founder@main building contractor@grid global research id@time of earliest written record@chairperson@Wikidata property@located next to body of water@Structurae ID (structure)@ASI Monument ID@DGO4 identifier@website account on@PCP reference number@topic's main Wikimedia portal@dedicated to@ULAN identifier@Cooper-Hewitt Person ID@owned by@chief executive officer@Commons gallery"
P201,"lake outflow",http://www.wikidata.org/entity/P201,Item,1143,1116,6,7,0,0,1150,"lake inflows@volume for quantity@watershed area@basin country@bathymetry image@lakes on river@FAST-ID@SSR Name ID@Naturbase ID@elevation above sea level@CGNDB Unique Identifier@image@GeoNames ID@detail map@deepest point@Swiss municipality code@coordinate location@Commons category@WISS_ID@located in the administrative territorial entity@Freebase identifier@country@located on terrain feature@Encyclopædia Britannica Online ID@width@bodies of water basin category@TGN identifier@HDS@named after"
P791,"ISIL ID",http://www.wikidata.org/entity/P791,String,1113,1109,0,1,0,0,1114,"Foursquare venue ID@date of official opening@collection or exhibition size@DOI Prefix@e-mail@visitors per year@located at street address@phone number@Commons Institution page@postal code@official website@manager/director@inception@PCP reference number@coordinate location@official blog@CVR@country@topic's main template@denkXweb identifier@located in the administrative territorial entity@image@named after"
P1257,"depicts Iconclass notation",http://www.wikidata.org/entity/P1257,String,2338,1099,0,0,0,0,2338,"handle@circle of@RKDimages@material used@depicts@CONA  identifier@Europeana ID@catalog code@inventory number@collection@creator@Bildindex der Kunst und Architektur ID@inception@pendant of@location@described by source@Florentine musea Inventario 1890  ID@genre@movement@image@(OBSOLETE) inscription (use P1684)@Iconclass notation@inscription@Atlas ID@height@country@exhibition history@commissioned by@based on@location of final assembly@influenced by@Joconde ID@location of discovery"
P1750,"name day",http://www.wikidata.org/entity/P1750,Item,1403,1086,1402,0,0,0,1403,"distribution map@said to be the same as@family name identical to this first name@significant event@given name version for other gender@Dictionary of Medieval Names from European Sources entry@IPA@pronunciation audio@language of work or name"
P1261,"Rundata",http://www.wikidata.org/entity/P1261,String,1165,1086,0,0,0,0,1165,"RAÄ-nummer@Cultural heritage database in Sweden@heritage status@image@location of discovery@(OBSOLETE) inscription (use P1684)@writing system@country@coordinate location@height"
P2448,"Turkish Football Federation player ID",http://www.wikidata.org/entity/P2448,String,1082,1082,0,1,0,0,1083,"Mackolik.com footballer ID@Turkish Football Federation manager ID@worldfootball.net ID@transfermarkt footballer id@position played on team / speciality@UEFA player code@FIFA player code@mariscos recios futsal@place of birth@country of citizenship@sport@occupation@date of birth@sex or gender@given name@Soccerway player ID@Freebase identifier@image@transfermarkt manager id"
P397,"astronomical body",http://www.wikidata.org/entity/P397,Item,1074,1071,216,9,0,0,1083,"discovery method@flattening@child astronomical body@rotation period@astronomic symbol image@constellation@catalog code@radial velocity@from fictional universe@companion of@temperature@radius@apparent magnitude@notation@time of discovery@volume for quantity@discoverer or inventor@investigated by@orbital eccentricity@mass (weight)@asteroid family@provisional designation@named after@orbital inclination@Freebase identifier@FAST-ID@semi-major axis@highest point@apoapsis@orbital period@periapsis@absolute magnitude@shape@asteroid spectral type@type of orbit@argument of periapsis@mean anomaly@deepest point@history of topic@location of discovery@longitude of ascending node@pronunciation audio@spectral class@galaxy morphological type@PSH ID@site of astronomical discovery"
P1998,"UCI code",http://www.wikidata.org/entity/P1998,String,1366,1078,609,0,0,0,1366,"general manager@ProCyclingStats ID (team)@Cycling Archives ID (team)@head coach@end time@start time@cost@part of@has part@sport@follows@followed by@inception@dissolved or abolished@official website@date of disappearance@country@Commons category@official name"
